Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDA15,9.3,1,249.8092,OUT049,3735.138,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
DRC01,5.92,1,48.2692,OUT018,443.4228,9,Low Viz,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
FDN15,17.5,1,141.618,OUT049,2097.27,19,Low Viz,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDX07,19.2,3,182.095,OUT010,732.38,20,,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
NCD19,8.93,3,53.8614,OUT013,994.7052,31,,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
FDP36,10.395,3,51.4008,OUT018,556.6088,9,,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDO10,13.65,1,57.6588,OUT013,343.5528,31,Low Viz,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
FDP10,12.792854228644991,2,107.7622,OUT027,4022.7636,33,Viz,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDH17,16.2,1,96.9726,OUT045,1076.5986,16,Low Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDU28,19.2,2,187.8214,OUT017,4710.535,11,Viz,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
FDY07,11.8,3,45.5402,OUT049,1516.0266,19,,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
FDA03,18.5,1,144.1102,OUT046,2187.153,21,Low Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDX32,15.1,2,145.4786,OUT049,1589.2646,19,Viz,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
FDS46,17.6,1,119.6782,OUT046,2145.2076,21,Low Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDF32,16.35,2,196.4426,OUT013,1977.426,31,Viz,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDP49,9.0,2,56.3614,OUT046,1547.3192,21,Viz,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
NCB42,11.8,1,115.3492,OUT018,1621.8888,9,Low Viz,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDP49,9.0,2,54.3614,OUT049,718.3982,19,Viz,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
DRI11,12.792854228644991,1,113.2834,OUT027,2303.668,33,Low Viz,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
