Date,BYO Starts,BYO Completes
1/1/2016,64665,29057
1/2/2016,67037,29977
1/3/2016,70994,31850
1/4/2016,66300,29172
1/5/2016,65346,28936
1/6/2016,65653,29066
1/7/2016,66560,29338
1/8/2016,68475,30405
1/9/2016,79103,35988
1/10/2016,86684,39280
1/11/2016,94108,41039
1/12/2016,78648,34769
1/13/2016,85005,38320
1/14/2016,74473,32780
1/15/2016,71607,31516
1/16/2016,88171,39806
1/17/2016,92867,42827
1/18/2016,82154,36757
1/19/2016,76866,33996
1/20/2016,74969,32621
1/21/2016,79652,34409
1/22/2016,79332,33851
1/23/2016,84032,35261
1/24/2016,94992,41385
1/25/2016,82130,35440
1/26/2016,81348,35496
1/27/2016,78053,34162
1/28/2016,76471,32752
1/29/2016,74516,32262
1/30/2016,81172,35517
1/31/2016,88527,39576
2/1/2016,75932,33289
2/2/2016,74311,33047
2/3/2016,72492,32574
2/4/2016,71246,32164
2/5/2016,68510,30321
2/6/2016,73307,33128
2/7/2016,75174,33805
2/8/2016,75567,33683
2/9/2016,73652,33243
2/10/2016,77412,34898
2/11/2016,76435,34003
2/12/2016,72766,32719
2/13/2016,76830,35249
2/14/2016,81289,37714
2/15/2016,82971,37560
2/16/2016,75085,34158
2/17/2016,86602,35604
2/18/2016,89165,36219
2/19/2016,77716,33407
2/20/2016,78090,34953
2/21/2016,89198,41010
2/22/2016,81561,36753
2/23/2016,78210,35443
2/24/2016,75794,34730
2/25/2016,74664,34258
2/26/2016,71686,32230
2/27/2016,76122,34892
2/28/2016,81793,37877
2/29/2016,79172,35964
3/1/2016,73809,33251
3/2/2016,70540,31868
3/3/2016,68834,31107
3/4/2016,66841,29673
3/5/2016,,
3/6/2016,,34814
3/7/2016,71818,32122
3/8/2016,68478,30737
3/9/2016,67748,31963
3/10/2016,70325,32649
3/11/2016,66305,29657
3/12/2016,69811,31084
3/13/2016,72855,34023
3/14/2016,71347,31843
3/15/2016,68672,30363
3/16/2016,72473,31875
3/17/2016,69552,30644
3/18/2016,71309,31378
3/19/2016,75554,33939
3/20/2016,79742,36908
3/21/2016,73779,32843
3/22/2016,70846,31492
3/23/2016,70497,31270
3/24/2016,70953,30976
3/25/2016,70261,30790
3/26/2016,73403,32459
3/27/2016,76902,34732
3/28/2016,76064,30699
3/29/2016,70913,31586
3/30/2016,70853,31166
3/31/2016,69519,30618
4/1/2016,71685,31674
4/2/2016,73428,32868
4/3/2016,74888,34175
4/4/2016,81588,35929
4/5/2016,75569,34286
4/6/2016,69100,30896
4/7/2016,69220,29153
4/8/2016,67125,29416
4/9/2016,73744,33298
4/10/2016,75025,34478
4/11/2016,73600,32776
4/12/2016,73488,32681
4/13/2016,70251,31361
4/14/2016,69062,30738
4/15/2016,67165,29432
4/16/2016,71105,31273
4/17/2016,73420,32127
4/18/2016,75700,32559
4/19/2016,74195,32551
4/20/2016,69921,30786
4/21/2016,70262,30329
4/22/2016,69091,30087
4/23/2016,68491,30080
4/24/2016,73075,32561
4/25/2016,74576,32467
4/26/2016,72634,31816
4/27/2016,70518,31101
4/28/2016,68425,29987
4/29/2016,66687,29113
